meal_name,Calories,Proteins,Carbs,Fats,sugar_g,diet_type
Other,2030.0,94.49,235.62,62.77,27.18,Keto
Other,3313.0,117.99,296.66,78.86,4.0,Low-Carb
Other,1390.0,83.24,205.31,55.37,8.38,Low-Carb
Other,1489.0,85.55,215.24,57.33,35.32,Paleo
Other,2531.0,118.19,296.47,79.21,19.02,Vegan
Other,1325.0,86.75,217.46,57.22,27.11,Keto
Other,2334.0,115.86,291.2,77.53,22.78,Paleo
Other,1353.0,112.63,282.27,74.94,29.84,Paleo
Other,2728.0,122.15,306.41,82.17,46.88,Vegetarian
Other,2657.0,115.2,288.65,76.75,3.45,Balanced
Other,2621.0,171.53,428.87,113.84,42.99,Balanced
Other,2174.0,63.98,162.37,42.89,38.15,Paleo
Other,1839.0,85.89,217.65,58.01,4.67,Paleo
Other,1549.0,109.75,274.39,73.35,31.52,Balanced
Other,1446.0,98.22,247.09,66.16,2.48,Vegetarian
Other,2285.0,100.12,251.88,66.98,8.63,Paleo
Other,1789.0,80.95,201.78,53.99,34.91,Vegetarian
Other,1648.0,72.16,178.89,48.06,28.52,Vegan
Other,2268.0,125.01,312.47,83.31,42.56,Balanced
Other,1771.0,87.44,220.02,58.56,9.75,Balanced
Other,1934.0,101.44,256.52,67.94,25.86,Low-Carb
Other,1656.0,81.81,202.77,54.86,7.24,Vegetarian
Other,1242.0,113.61,282.8,75.84,12.42,Vegan
Other,1872.0,72.39,180.13,48.72,43.55,Paleo
Other,2558.0,163.87,410.38,109.15,7.53,Balanced
Other,1918.0,89.45,223.1,59.04,27.1,Vegetarian
Other,2956.0,122.84,306.96,81.67,15.4,Vegan
Other,3424.0,120.07,298.21,79.45,39.98,Low-Carb
Other,1861.0,119.65,298.86,80.16,20.54,Balanced
Other,2366.0,80.59,200.87,53.75,11.46,Keto
Other,1731.0,84.99,211.62,57.28,12.74,Vegetarian
Other,1615.0,81.36,201.97,54.63,37.38,Balanced
Other,1995.0,101.9,254.78,68.03,2.95,Vegan
Other,2502.0,109.74,276.79,73.73,12.48,Keto
Other,2466.0,99.54,250.06,66.37,31.49,Keto
Other,1433.0,83.47,208.63,54.99,20.37,Low-Carb
Other,1410.0,118.76,295.15,79.09,30.5,Vegan
Other,1758.0,85.59,214.64,57.27,43.07,Vegan
Other,1857.0,86.76,217.52,58.54,15.12,Keto
Other,1142.0,133.7,332.81,88.57,7.39,Keto
Other,2619.0,116.49,293.13,78.24,29.7,Low-Carb
Other,1891.0,76.31,190.36,50.8,2.45,Vegan
Other,3376.0,93.24,233.71,61.85,17.72,Paleo
Other,1760.0,119.17,296.4,79.57,6.13,Vegetarian
Other,2327.0,106.58,265.42,71.22,45.23,Vegan
Other,1844.0,80.56,201.73,53.87,34.93,Keto
Other,2204.0,83.89,207.92,56.62,17.69,Paleo
Other,1686.0,86.97,218.11,57.62,39.62,Vegetarian
Other,1625.0,116.97,294.52,78.33,18.37,Paleo
Other,2877.0,121.46,303.62,81.55,46.8,Balanced
Other,2381.0,112.06,278.15,74.19,40.48,Vegan
Other,1952.0,146.28,365.05,97.25,27.35,Low-Carb
Other,1264.0,111.49,275.13,74.23,47.45,Keto
Other,2062.0,88.29,218.96,58.24,5.17,Vegetarian
Other,1524.0,94.96,237.92,62.69,7.87,Balanced
Other,1946.0,92.08,231.65,61.08,18.94,Keto
Other,1806.0,87.58,217.93,57.79,36.0,Paleo
Other,1252.0,79.89,201.46,53.95,37.21,Paleo
Other,1430.0,93.15,233.19,61.59,10.68,Vegan
Other,1692.0,83.98,208.16,55.66,37.33,Balanced
Other,2768.0,122.92,305.8,82.09,15.65,Paleo
Other,1372.0,87.46,219.37,58.36,25.53,Low-Carb
Other,1688.0,82.8,208.82,55.86,7.31,Paleo
Other,1576.0,82.01,204.42,54.55,0.28,Vegan
Other,1231.0,124.84,312.49,83.15,26.3,Low-Carb
Other,1920.0,101.94,256.16,68.39,10.49,Vegan
Other,1951.0,75.78,188.06,50.59,6.06,Balanced
Other,1807.0,122.86,308.94,82.31,48.61,Vegetarian
Other,2633.0,114.39,285.22,76.12,27.64,Vegetarian
Other,1346.0,99.43,247.43,66.25,25.22,Vegan
Other,1620.0,79.67,197.25,52.71,44.27,Vegan
Other,1664.0,89.14,222.66,59.41,3.64,Low-Carb
Other,1689.0,122.1,302.69,80.96,9.46,Vegetarian
Other,2403.0,109.4,276.43,73.46,10.22,Low-Carb
Other,2041.0,97.05,240.27,64.21,45.83,Keto
Other,2220.0,78.38,194.99,51.54,24.87,Low-Carb
Other,3011.0,112.18,284.57,75.28,48.61,Paleo
Other,3265.0,118.88,295.7,78.45,10.65,Paleo
Other,3287.0,123.12,306.18,81.64,44.81,Balanced
Other,1909.0,111.76,283.55,74.73,38.01,Balanced
Other,1440.0,121.29,302.12,80.75,15.47,Low-Carb
Other,2115.0,90.86,226.58,60.19,48.11,Paleo
Other,1902.0,127.97,320.19,85.18,28.94,Vegan
Other,2334.0,78.21,196.91,51.68,12.15,Paleo
Other,1328.0,99.57,251.34,66.64,11.16,Balanced
Other,2867.0,79.85,197.85,53.1,43.49,Low-Carb
Other,2638.0,113.15,283.6,75.36,20.67,Keto
Other,2440.0,125.15,314.61,83.93,17.31,Low-Carb
Other,2206.0,88.64,222.12,59.16,6.77,Vegetarian
Other,2094.0,80.5,200.77,53.3,33.32,Low-Carb
Other,1281.0,68.59,170.94,46.07,42.34,Keto
Other,2071.0,114.08,284.52,76.54,34.31,Vegan
Other,1671.0,61.33,152.5,40.94,18.43,Balanced
Other,1252.0,71.33,178.08,47.78,15.43,Paleo
Other,1637.0,112.28,280.91,75.28,12.63,Vegetarian
Other,2210.0,73.95,184.84,49.16,38.84,Vegan
Other,3333.0,96.32,241.12,64.31,40.46,Keto
Other,1803.0,97.66,246.03,65.39,27.28,Keto
Other,1987.0,71.54,181.25,47.69,39.38,Vegetarian
Other,1343.0,114.97,287.13,76.58,13.24,Balanced
Other,1574.0,125.01,311.41,83.71,13.87,Paleo
Other,1649.0,86.76,217.06,57.94,2.64,Balanced
Other,1132.0,71.03,177.43,47.33,9.56,Paleo
Other,1603.0,138.1,344.62,92.14,20.68,Low-Carb
Other,2112.0,87.65,218.95,57.53,10.54,Keto
Other,2339.0,101.72,254.49,67.79,8.91,Vegan
Other,1505.0,88.31,217.32,58.5,15.39,Vegan
Other,1488.0,154.31,386.21,103.28,30.66,Low-Carb
Other,1937.0,122.16,305.65,80.72,1.27,Keto
Other,1699.0,86.3,213.56,56.79,42.26,Low-Carb
Other,3114.0,80.39,195.87,52.4,37.66,Vegetarian
Other,2126.0,90.32,224.18,60.01,12.39,Low-Carb
Other,1700.0,90.81,225.95,60.73,38.94,Balanced
Other,1258.0,84.99,211.14,56.6,48.37,Keto
Other,1262.0,75.85,191.62,51.06,29.66,Vegan
Other,1735.0,76.87,194.34,51.6,43.23,Vegetarian
Other,1438.0,72.16,177.94,47.8,15.8,Keto
Other,2706.0,122.26,305.92,81.34,15.15,Paleo
Other,2144.0,109.31,273.72,72.9,13.75,Paleo
Other,1735.0,85.91,214.4,57.36,42.2,Vegetarian
Other,2287.0,112.05,280.48,74.85,25.84,Vegan
Other,1617.0,89.21,222.97,59.85,36.05,Balanced
Other,2617.0,94.43,238.42,62.77,33.44,Balanced
Other,1432.0,105.56,265.03,70.27,16.26,Vegetarian
Other,3453.0,107.6,269.37,72.32,28.93,Low-Carb
Other,1179.0,110.51,276.61,73.91,47.93,Vegetarian
Other,1702.0,133.28,332.47,89.04,23.66,Low-Carb
Other,2065.0,100.25,251.21,66.44,15.52,Vegetarian
Other,1268.0,109.65,274.46,73.24,44.33,Vegetarian
Other,2700.0,112.53,283.04,75.35,9.54,Keto
Other,2540.0,80.41,198.91,53.44,47.46,Balanced
Other,2138.0,96.75,244.54,65.33,7.04,Vegan
Other,2151.0,114.16,285.78,76.14,34.43,Paleo
Other,1300.0,106.12,267.23,70.8,14.85,Paleo
Other,2165.0,125.82,314.38,84.46,38.57,Paleo
Other,2536.0,116.05,288.92,77.38,47.48,Paleo
Other,2147.0,84.99,212.01,56.5,18.45,Keto
Other,1689.0,103.62,258.1,68.68,40.61,Paleo
Other,2433.0,81.19,201.34,54.3,43.72,Balanced
Other,2414.0,119.41,298.39,79.39,12.1,Vegan
Other,1683.0,118.26,296.89,78.33,39.07,Vegetarian
Other,1608.0,93.75,236.32,62.99,25.44,Vegetarian
Other,2402.0,85.9,211.41,57.13,32.46,Vegetarian
Other,1962.0,92.9,232.9,62.34,27.83,Vegetarian
Other,1545.0,68.67,172.9,46.13,28.12,Paleo
Other,2996.0,103.32,257.73,68.58,30.67,Balanced
Other,2542.0,65.19,163.19,42.98,49.63,Paleo
Other,1587.0,80.06,196.84,52.93,43.86,Low-Carb
Other,2677.0,67.55,170.41,45.33,11.19,Paleo
Other,2358.0,66.38,169.2,44.85,25.94,Vegetarian
Other,2360.0,74.06,183.89,48.99,38.96,Paleo
Other,1307.0,92.4,228.96,61.34,41.28,Low-Carb
Other,2868.0,72.37,178.76,48.07,45.72,Paleo
Other,2329.0,74.04,185.31,49.32,38.64,Balanced
Other,1055.0,104.07,259.94,69.0,44.43,Keto
Other,1925.0,67.83,167.3,44.12,26.21,Vegan
Other,2321.0,66.18,164.34,44.55,39.27,Vegan
Other,1779.0,122.45,305.07,81.47,2.04,Vegan
Other,907.0,120.01,298.37,79.24,31.14,Vegan
Other,1282.0,155.24,387.46,103.3,30.6,Paleo
Other,1722.0,71.89,179.82,48.18,49.8,Vegetarian
Other,1590.0,79.92,198.45,53.19,25.78,Paleo
Other,2842.0,104.16,257.69,68.78,30.67,Vegan
Other,2931.0,117.08,294.22,77.98,1.22,Vegan
Other,1261.0,154.62,386.5,103.17,30.48,Paleo
Other,1931.0,93.88,234.46,63.04,38.31,Vegan
Other,2047.0,66.1,165.5,43.89,6.55,Low-Carb
Other,1376.0,96.76,242.42,64.39,46.08,Low-Carb
Other,1674.0,89.34,223.14,59.04,31.55,Keto
Other,1664.0,63.78,161.18,43.14,10.21,Paleo
Other,1528.0,88.1,220.66,58.41,28.95,Keto
Other,1367.0,113.02,282.65,74.93,28.97,Vegetarian
Other,1721.0,83.16,208.17,55.76,9.3,Vegetarian
Other,1944.0,72.04,178.67,48.23,43.53,Paleo
Other,1951.0,91.2,226.62,60.66,46.57,Paleo
Other,2033.0,82.15,206.93,54.78,8.68,Balanced
Other,2858.0,71.87,180.09,48.24,28.37,Vegetarian
Other,1578.0,100.12,249.6,66.47,16.31,Vegetarian
Other,1656.0,129.97,320.73,86.21,18.87,Paleo
Other,1233.0,106.52,267.02,70.6,11.31,Balanced
Other,2350.0,78.03,193.04,51.7,34.96,Low-Carb
Other,3268.0,95.81,239.2,64.64,40.36,Balanced
Other,1680.0,165.66,414.15,110.51,30.51,Balanced
Other,1640.0,110.92,274.53,74.2,42.12,Vegetarian
Other,1863.0,89.99,228.33,60.54,22.69,Keto
Other,2501.0,184.15,460.89,123.12,42.99,Paleo
Other,1759.0,92.6,232.13,61.58,15.47,Balanced
Other,2645.0,153.77,387.22,102.95,0.68,Paleo
Other,2281.0,123.27,306.48,82.46,40.86,Vegetarian
Other,2227.0,90.97,227.24,61.08,48.97,Low-Carb
Other,2531.0,77.27,192.79,52.16,35.13,Balanced
Other,1663.0,65.52,165.41,44.05,8.3,Paleo
Other,2216.0,76.53,191.14,50.57,2.86,Low-Carb
Other,1661.0,94.86,236.36,62.64,26.77,Paleo
Other,1791.0,107.75,269.88,71.92,12.9,Vegan
Other,1823.0,97.94,244.39,65.11,41.59,Keto
Other,2020.0,101.67,254.49,68.53,20.48,Vegan
Other,2132.0,109.21,274.63,72.76,35.47,Low-Carb
Other,1696.0,140.32,350.52,93.13,39.24,Keto
Other,2897.0,114.94,285.0,76.89,26.08,Low-Carb
Other,1465.0,63.41,156.73,41.84,35.56,Vegetarian
Other,2144.0,83.88,212.15,56.47,28.58,Paleo
Other,2075.0,122.68,304.36,81.5,26.1,Paleo
Other,1722.0,92.24,231.29,60.96,39.15,Keto
Other,2658.0,62.01,153.48,41.09,0.98,Vegan
Other,2104.0,61.64,154.32,40.91,-0.08,Vegan
Other,1515.0,106.76,269.22,71.31,11.11,Balanced
Other,1791.0,87.53,219.02,58.94,16.68,Keto
Other,1574.0,114.14,287.53,76.48,41.66,Paleo
Other,1934.0,82.56,203.59,54.51,7.72,Paleo
Other,3438.0,100.18,250.71,66.81,21.15,Paleo
Other,1635.0,85.7,213.45,57.19,42.63,Low-Carb
Other,1595.0,114.79,284.43,76.75,47.87,Balanced
Other,1854.0,87.94,220.2,58.38,27.08,Vegetarian
Other,2154.0,101.05,253.55,68.07,13.1,Keto
Other,1773.0,162.06,406.53,108.07,41.91,Balanced
Other,1970.0,87.19,218.48,58.56,18.43,Balanced
Other,1837.0,94.11,240.35,63.88,47.73,Paleo
Other,1522.0,88.75,221.77,58.74,5.89,Low-Carb
Other,2359.0,85.62,215.38,57.09,39.94,Balanced
Other,2744.0,95.77,241.4,63.92,40.11,Vegetarian
Other,1701.0,80.69,202.52,54.04,34.98,Balanced
Other,1830.0,111.0,278.8,73.69,9.29,Paleo
Other,1322.0,85.1,211.07,56.88,20.81,Vegan
Other,1766.0,73.74,185.71,49.11,17.4,Low-Carb
Other,1646.0,74.07,184.95,49.68,17.12,Low-Carb
Other,2132.0,139.96,349.37,92.62,15.81,Low-Carb
Other,2562.0,102.01,253.63,67.91,10.94,Keto
Other,1937.0,83.32,209.02,55.72,20.99,Paleo
Other,1699.0,77.58,197.74,52.02,18.62,Low-Carb
Other,2438.0,78.19,195.25,52.18,3.64,Low-Carb
Other,1489.0,100.29,247.95,66.38,15.3,Keto
Other,1430.0,96.47,241.76,64.62,5.11,Keto
Other,2539.0,138.71,346.22,92.38,3.41,Balanced
Other,3256.0,97.54,241.83,65.13,42.1,Keto
Other,1730.0,136.37,341.29,91.36,31.09,Balanced
Other,1653.0,86.99,218.15,58.49,10.39,Keto
Other,2650.0,142.43,355.54,94.6,26.5,Keto
Other,3159.0,83.78,210.05,55.66,8.17,Low-Carb
Other,1647.0,98.21,247.66,65.95,43.06,Low-Carb
Other,2012.0,86.89,218.49,58.55,5.24,Vegetarian
Other,2494.0,109.23,270.41,72.0,17.55,Low-Carb
Other,1574.0,86.22,216.38,58.0,10.72,Vegan
Other,2767.0,120.14,301.1,80.48,0.1,Low-Carb
Other,2020.0,94.14,234.33,62.56,8.26,Low-Carb
Other,1724.0,78.36,193.87,51.94,24.88,Vegan
Other,1666.0,97.37,244.01,64.64,24.38,Paleo
Other,1365.0,111.0,277.19,73.71,27.11,Balanced
Other,1594.0,95.34,237.58,63.31,47.52,Paleo
Other,1989.0,119.0,297.07,78.91,46.84,Low-Carb
Other,3360.0,82.44,208.26,54.88,35.0,Keto
Other,2107.0,169.0,420.0,113.3,37.19,Low-Carb
Other,1727.0,80.47,204.01,53.61,13.31,Vegan
Other,2710.0,92.77,230.12,61.68,0.5,Vegan
Other,1916.0,87.69,220.14,58.04,4.92,Vegetarian
Other,2140.0,81.6,207.36,55.1,8.2,Low-Carb
Other,1722.0,91.82,229.9,60.98,2.97,Paleo
Other,1356.0,109.8,276.51,72.96,44.08,Vegan
Other,1688.0,118.85,296.7,78.89,16.2,Balanced
Other,2547.0,113.12,286.16,75.7,20.59,Balanced
Other,1895.0,104.81,262.74,69.67,34.26,Balanced
Other,2509.0,92.32,230.46,61.32,-0.66,Keto
Other,3318.0,111.34,279.22,73.82,17.8,Paleo
Other,3472.0,117.76,295.55,78.8,7.26,Vegan
Other,1674.0,78.85,196.46,52.37,37.33,Low-Carb
Other,1630.0,110.16,278.15,73.97,42.11,Balanced
Other,2348.0,78.39,196.2,51.89,7.46,Vegan
Other,1743.0,81.19,204.05,54.11,35.42,Low-Carb
Other,1843.0,81.55,202.02,53.73,45.89,Low-Carb
Other,2556.0,113.69,283.89,76.02,23.14,Vegetarian
Other,1702.0,102.65,254.79,67.89,8.93,Keto
Other,2263.0,98.37,246.44,65.16,36.59,Keto
Other,2242.0,155.25,385.92,103.25,38.0,Vegetarian
Other,2127.0,84.14,210.52,56.01,17.69,Keto
Other,1847.0,79.72,198.92,52.52,24.47,Vegetarian
Other,1543.0,79.04,197.64,52.48,21.92,Balanced
Other,1868.0,81.11,202.42,53.5,32.58,Vegetarian
Other,3223.0,100.63,251.57,66.78,31.32,Low-Carb
Other,1447.0,124.46,307.74,82.76,43.51,Keto
Other,2565.0,125.59,312.77,83.36,16.93,Keto
Other,2253.0,87.98,217.09,58.36,1.94,Keto
Other,1678.0,124.7,312.22,82.91,43.8,Paleo
Other,2178.0,88.71,222.46,59.25,14.95,Vegetarian
Other,2405.0,116.52,292.52,77.97,29.93,Keto
Other,1372.0,78.89,196.94,52.25,9.78,Paleo
Other,1982.0,80.59,201.69,54.41,31.36,Keto
Other,1903.0,162.07,405.66,107.99,41.14,Vegan
Other,1690.0,104.3,260.19,69.28,14.63,Paleo
Other,2169.0,104.59,264.5,70.16,19.6,Paleo
Other,1538.0,113.81,285.12,76.17,36.81,Keto
Other,1701.0,113.35,285.34,75.71,48.33,Vegetarian
Other,2933.0,84.59,213.96,57.4,9.88,Vegetarian
Other,1875.0,118.73,295.44,79.43,47.38,Paleo
Other,1470.0,81.67,205.5,54.63,48.51,Vegan
Other,1834.0,97.39,242.81,64.49,3.91,Paleo
Other,1330.0,84.27,208.62,56.12,21.18,Vegan
Other,1978.0,62.45,155.15,41.46,1.09,Vegetarian
Other,1301.0,88.1,220.9,58.88,25.85,Paleo
Other,1894.0,93.73,235.55,62.79,27.14,Vegetarian
Other,1593.0,73.76,185.01,48.96,34.55,Balanced
Other,2144.0,127.09,320.84,84.57,23.1,Balanced
Other,1832.0,75.0,191.7,50.78,35.3,Low-Carb
Other,1738.0,75.32,186.16,49.58,4.83,Vegetarian
Other,3013.0,83.39,207.75,55.5,40.26,Paleo
Other,1210.0,128.67,324.62,86.18,18.23,Paleo
Other,2376.0,107.5,269.54,71.94,41.42,Vegan
Other,1097.0,133.31,334.91,88.9,6.7,Low-Carb
Other,2057.0,109.31,272.57,72.38,19.12,Vegetarian
Other,1685.0,88.08,217.88,58.67,43.85,Vegetarian
Other,2696.0,78.94,196.63,52.19,3.67,Paleo
Other,1567.0,93.2,233.41,61.43,15.97,Low-Carb
Other,1749.0,80.08,199.55,53.46,27.02,Paleo
Other,1237.0,71.75,181.05,47.63,18.89,Low-Carb
Other,1531.0,133.52,332.07,88.44,39.04,Keto
Other,1858.0,76.52,191.14,50.8,0.53,Low-Carb
Other,1744.0,101.99,255.19,68.09,9.36,Paleo
Other,1536.0,98.54,247.29,66.07,20.97,Vegan
Other,2038.0,101.93,254.78,67.94,26.06,Vegan
Other,1701.0,95.4,239.07,63.68,48.07,Balanced
Other,1910.0,65.89,164.23,44.2,7.34,Vegan
Other,2116.0,72.39,177.89,48.72,33.59,Balanced
Other,2930.0,112.71,281.47,75.42,21.42,Keto
Other,2120.0,155.33,386.54,103.14,38.75,Low-Carb
Other,3041.0,95.83,243.05,63.67,32.19,Vegetarian
Other,3176.0,79.4,199.17,52.87,2.1,Vegetarian
Other,1786.0,93.81,233.94,62.48,11.36,Keto
Other,1946.0,84.28,208.33,56.08,20.8,Balanced
Other,1475.0,73.17,183.55,48.85,34.02,Paleo
Other,1908.0,67.4,167.68,44.74,3.68,Paleo
Other,1741.0,94.51,234.27,62.72,38.72,Balanced
Other,2207.0,105.83,262.64,70.15,2.32,Vegetarian
Other,2281.0,100.95,250.15,67.23,12.74,Vegetarian
Other,3027.0,96.18,240.46,64.92,32.2,Vegetarian
Other,2314.0,92.7,231.08,61.26,9.56,Keto
Other,1920.0,84.79,212.16,56.29,18.8,Balanced
Other,1327.0,96.01,243.11,64.18,24.24,Keto
Other,1613.0,99.06,247.22,66.12,27.23,Vegetarian
Other,1589.0,113.43,283.7,75.62,30.03,Balanced
Other,3093.0,87.71,220.69,58.06,25.86,Paleo
Other,2037.0,69.53,174.33,46.14,3.98,Low-Carb
Other,1724.0,136.27,339.37,91.22,31.22,Vegan
Other,1965.0,74.88,184.59,50.59,20.26,Vegetarian
Other,2056.0,95.44,240.36,63.55,45.48,Low-Carb
Other,2563.0,100.74,251.71,66.67,48.41,Paleo
Other,2650.0,171.38,427.96,114.08,43.18,Paleo
Other,1788.0,92.27,230.21,61.5,18.81,Paleo
Other,2929.0,112.41,281.79,74.93,48.66,Paleo
Other,2278.0,78.91,196.04,52.92,28.18,Balanced
Other,1463.0,88.19,222.73,58.7,31.61,Low-Carb
Other,2246.0,64.55,164.59,43.1,38.16,Paleo
Other,1208.0,96.16,239.0,64.27,37.33,Balanced
Other,3022.0,122.47,305.93,82.11,2.17,Vegan
Other,1556.0,92.64,231.4,61.39,15.52,Keto
Other,1912.0,80.53,200.42,54.02,31.77,Paleo
Other,1783.0,97.59,243.71,64.95,49.94,Vegan
Other,1370.0,82.68,208.04,55.36,1.07,Keto
Other,2692.0,101.15,253.03,67.74,49.31,Vegan
Other,1972.0,97.9,243.33,65.07,41.52,Low-Carb
Other,2211.0,71.35,179.03,47.67,39.61,Balanced
Other,1876.0,102.74,256.55,68.64,22.7,Vegetarian
Other,1518.0,81.43,204.85,54.35,37.45,Low-Carb
Other,1666.0,94.09,234.1,63.25,39.34,Low-Carb
Other,1949.0,78.0,196.76,52.77,21.53,Keto
Other,1842.0,77.12,195.21,51.52,46.07,Keto
Other,1209.0,113.47,283.38,75.56,2.99,Balanced
Other,1855.0,95.14,239.47,63.9,42.13,Balanced
Other,1536.0,119.68,299.05,79.56,18.38,Vegetarian
Other,2029.0,103.26,259.27,69.08,41.93,Vegetarian
Other,1170.0,114.45,285.03,76.68,0.4,Vegetarian
Other,1317.0,79.63,197.24,52.51,13.15,Balanced
Other,1573.0,81.22,203.38,54.18,37.79,Vegan
Other,2231.0,79.02,198.98,52.78,39.98,Vegetarian
Other,1263.0,91.66,229.07,60.72,40.74,Vegetarian
Other,2524.0,122.48,307.48,81.88,16.27,Low-Carb
Other,1711.0,74.23,186.22,49.72,20.2,Keto
Other,2365.0,100.84,250.71,67.07,6.8,Low-Carb
Other,1844.0,120.12,301.09,79.87,20.8,Vegan
Other,1455.0,82.05,202.85,54.42,0.51,Keto
Other,2994.0,91.83,227.93,60.6,13.13,Low-Carb
Other,2182.0,100.75,253.03,67.3,13.28,Vegetarian
Other,3171.0,124.34,310.58,82.84,0.95,Paleo
Other,2116.0,97.8,243.53,64.69,25.13,Low-Carb
Other,1337.0,97.54,243.69,64.94,2.01,Balanced
Other,2115.0,80.79,200.88,53.01,33.63,Keto
Other,1326.0,84.39,212.45,56.46,13.47,Paleo
Other,2477.0,97.81,241.9,64.3,39.82,Paleo
Other,1780.0,84.1,211.8,56.47,18.61,Paleo
Other,1674.0,124.52,312.16,82.99,2.34,Keto
Other,1826.0,126.87,314.24,84.22,37.52,Vegetarian
Other,1422.0,70.36,174.65,46.7,5.15,Vegan
Other,1846.0,80.56,202.92,54.06,19.91,Vegetarian
Other,2243.0,98.37,245.66,65.77,29.4,Low-Carb
Other,1851.0,113.31,282.96,75.49,13.64,Vegan
Other,2329.0,66.47,167.06,44.03,39.43,Keto
Other,3442.0,92.86,231.77,61.84,39.61,Paleo
Other,1538.0,86.47,216.07,57.93,10.37,Keto
Other,1674.0,100.22,250.01,66.31,16.11,Paleo
Other,1272.0,88.03,220.09,59.01,25.85,Low-Carb
Other,2445.0,100.35,252.91,67.23,8.74,Vegetarian
Other,2016.0,61.2,158.37,42.23,6.05,Vegetarian
Other,2396.0,84.83,211.63,56.22,0.35,Vegetarian
Other,2042.0,75.58,188.23,50.44,3.37,Low-Carb
Other,1502.0,89.11,220.73,59.47,32.03,Paleo
Other,2356.0,78.72,194.13,51.17,24.22,Vegan
Other,1589.0,94.49,237.28,62.45,46.21,Balanced
Other,1597.0,88.27,222.4,59.56,11.54,Keto
Other,2379.0,92.63,233.56,61.56,17.7,Keto
Other,2506.0,61.29,151.33,40.72,32.31,Paleo
Other,1290.0,84.11,209.55,56.08,26.64,Low-Carb
Other,1309.0,131.6,328.76,88.54,10.8,Low-Carb
Other,1551.0,71.54,180.61,48.02,28.32,Vegan
Other,2104.0,95.58,238.37,63.08,45.73,Low-Carb
Other,2169.0,161.08,401.27,107.66,37.42,Vegan
Other,2597.0,72.82,179.05,47.61,24.95,Low-Carb
Other,1259.0,103.78,261.02,68.73,44.97,Vegetarian
Other,1216.0,94.15,234.93,62.32,44.39,Vegetarian
Other,1417.0,97.35,243.17,64.5,14.1,Paleo
Other,2052.0,70.54,174.72,47.63,36.91,Keto
Other,2427.0,119.0,299.23,80.25,11.65,Balanced
Other,2011.0,77.91,196.26,51.9,24.0,Vegetarian
Other,1751.0,66.8,167.29,44.29,19.66,Vegetarian
Other,2035.0,88.78,221.94,59.55,16.36,Vegetarian
Other,2502.0,122.29,303.16,81.27,15.76,Keto
Other,2448.0,97.6,246.33,65.64,34.97,Vegetarian
Other,1697.0,75.24,189.77,50.64,0.45,Balanced
Other,2558.0,119.91,300.42,79.85,23.01,Balanced
Other,1408.0,113.26,282.34,75.51,11.96,Keto
Other,1879.0,91.0,230.09,61.13,32.55,Low-Carb
Other,2576.0,82.25,206.59,55.03,48.31,Balanced
Other,3044.0,158.33,395.09,105.43,48.42,Keto
Other,1688.0,91.5,228.95,61.42,2.92,Balanced
Other,2456.0,92.58,232.26,62.18,17.56,Paleo
Other,1506.0,95.99,241.96,64.74,42.75,Vegetarian
Other,2030.0,117.86,292.63,79.01,41.72,Vegetarian
Other,2915.0,82.34,205.6,55.34,3.92,Low-Carb
Other,2068.0,112.47,281.4,74.92,4.31,Keto
